Datetime;Energy;Month;Day;Hour
2022-01-27;4,429;1;27;24
2022-01-28;2,664;1;28;1
2022-01-28;2,431;1;28;2
2022-01-28;1,671;1;28;3
2022-01-28;1,522;1;28;4
2022-01-28;1,291;1;28;5
2022-01-28;1,36;1;28;6
2022-01-28;1,8;1;28;7
2022-01-28;1,847;1;28;8
2022-01-28;1,52;1;28;9
2022-01-28;1,13;1;28;10
2022-01-28;1,322;1;28;11
2022-01-28;1,926;1;28;12
2022-01-28;1,551;1;28;13
2022-01-28;1,626;1;28;14
2022-01-28;1,025;1;28;15
2022-01-28;2,026;1;28;16
2022-01-28;2,499;1;28;17
2022-01-28;2,34;1;28;18
2022-01-28;1,792;1;28;19
2022-01-28;1,945;1;28;20
2022-01-28;1,892;1;28;21
2022-01-28;2,574;1;28;22
2022-01-28;2,506;1;28;23
2022-01-28;2,341;1;28;24
2022-01-29;1,138;1;29;1
2022-01-29;0,747;1;29;2
2022-01-29;0,841;1;29;3
2022-01-29;0,947;1;29;4
2022-01-29;0,929;1;29;5
2022-01-29;0,966;1;29;6
2022-01-29;1,002;1;29;7
2022-01-29;0,932;1;29;8
2022-01-29;1,202;1;29;9
2022-01-29;2,211;1;29;10
2022-01-29;1,801;1;29;11
2022-01-29;0,687;1;29;12
2022-01-29;1,005;1;29;13
2022-01-29;0,885;1;29;14
2022-01-29;1,35;1;29;15
2022-01-29;1,995;1;29;16
2022-01-29;2,148;1;29;17
2022-01-29;2,093;1;29;18
2022-01-29;2,219;1;29;19
2022-01-29;1,904;1;29;20
2022-01-29;1,943;1;29;21
2022-01-29;2,359;1;29;22
2022-01-29;2,131;1;29;23
2022-01-29;2,199;1;29;24
2022-01-30;2,056;1;30;1
2022-01-30;1,982;1;30;2
2022-01-30;2,107;1;30;3
2022-01-30;1,775;1;30;4
2022-01-30;2,031;1;30;5
2022-01-30;1,89;1;30;6
2022-01-30;2,01;1;30;7
2022-01-30;1,865;1;30;8
2022-01-30;1,861;1;30;9
2022-01-30;2,027;1;30;10
2022-01-30;2,142;1;30;11
2022-01-30;2,349;1;30;12
2022-01-30;2,433;1;30;13
2022-01-30;2,168;1;30;14
2022-01-30;2,507;1;30;15
2022-01-30;2,346;1;30;16
2022-01-30;2,288;1;30;17
2022-01-30;1,583;1;30;18
2022-01-30;1,576;1;30;19
2022-01-30;1,576;1;30;20
2022-01-30;2,1;1;30;21
2022-01-30;2,99;1;30;22
2022-01-30;2,883;1;30;23
2022-01-30;2,246;1;30;24
2022-01-31;0,785;1;31;1
2022-01-31;0,646;1;31;2
2022-01-31;0,658;1;31;3
2022-01-31;0,819;1;31;4
2022-01-31;0,84;1;31;5
2022-01-31;0,915;1;31;6
2022-01-31;0,827;1;31;7
2022-01-31;0,882;1;31;8
2022-01-31;0,813;1;31;9
2022-01-31;1,663;1;31;10
2022-01-31;0,982;1;31;11
2022-01-31;1,088;1;31;12
2022-01-31;0,98;1;31;13
2022-01-31;1,011;1;31;14
2022-01-31;1,643;1;31;15
2022-01-31;1,806;1;31;16
2022-01-31;1,292;1;31;17
2022-01-31;1,049;1;31;18
2022-01-31;1,351;1;31;19
2022-01-31;1,654;1;31;20
2022-01-31;2,417;1;31;21
2022-01-31;4,283;1;31;22
2022-01-31;3,988;1;31;23
2022-01-31;3,401;1;31;24
2022-02-01;3,102;2;1;1
2022-02-01;1,853;2;1;2
2022-02-01;1,386;2;1;3
2022-02-01;1,439;2;1;4
2022-02-01;1,228;2;1;5
2022-02-01;1,223;2;1;6
2022-02-01;1,402;2;1;7
2022-02-01;2,141;2;1;8
2022-02-01;3,026;2;1;9
2022-02-01;1,809;2;1;10
2022-02-01;1,042;2;1;11
2022-02-01;1,141;2;1;12
2022-02-01;1,048;2;1;13
2022-02-01;1,101;2;1;14
2022-02-01;2,068;2;1;15
2022-02-01;1,581;2;1;16
2022-02-01;1,386;2;1;17
2022-02-01;1,427;2;1;18
2022-02-01;1,531;2;1;19
2022-02-01;1,269;2;1;20
2022-02-01;2,003;2;1;21
2022-02-01;1,698;2;1;22
2022-02-01;1,377;2;1;23
2022-02-01;1,279;2;1;24
2022-02-02;0,868;2;2;1
2022-02-02;0,794;2;2;2
