CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000003073076YC;21/01/2023;14;1,694;R
ES0021000003073076YC;21/01/2023;15;0,932;R
ES0021000003073076YC;21/01/2023;16;1,523;R
ES0021000003073076YC;21/01/2023;17;1,041;R
ES0021000003073076YC;21/01/2023;18;0,546;R
ES0021000003073076YC;21/01/2023;19;0,863;R
ES0021000003073076YC;21/01/2023;20;1,095;R
ES0021000003073076YC;21/01/2023;21;1,499;R
ES0021000003073076YC;21/01/2023;22;1,817;R
ES0021000003073076YC;21/01/2023;23;1,054;R
ES0021000003073076YC;21/01/2023;24;0,826;R
ES0021000003073076YC;22/01/2023;1;0,696;R
ES0021000003073076YC;22/01/2023;2;1,971;R
ES0021000003073076YC;22/01/2023;3;2,473;R
ES0021000003073076YC;22/01/2023;4;2,493;R
ES0021000003073076YC;22/01/2023;5;2,301;R
ES0021000003073076YC;22/01/2023;6;0,977;R
ES0021000003073076YC;22/01/2023;7;0,342;R
ES0021000003073076YC;22/01/2023;8;0,347;R
ES0021000003073076YC;22/01/2023;9;0,384;R
ES0021000003073076YC;22/01/2023;10;1,282;R
ES0021000003073076YC;22/01/2023;11;0,493;R
ES0021000003073076YC;22/01/2023;12;0,355;R
ES0021000003073076YC;22/01/2023;13;0,683;R
ES0021000003073076YC;22/01/2023;14;0,525;R
ES0021000003073076YC;22/01/2023;15;1,422;R
ES0021000003073076YC;22/01/2023;16;0,920;R
ES0021000003073076YC;22/01/2023;17;1,157;R
ES0021000003073076YC;22/01/2023;18;0,737;R
ES0021000003073076YC;22/01/2023;19;0,621;R
ES0021000003073076YC;22/01/2023;20;1,100;R
ES0021000003073076YC;22/01/2023;21;1,560;R
ES0021000003073076YC;22/01/2023;22;1,313;R
ES0021000003073076YC;22/01/2023;23;0,938;R
ES0021000003073076YC;22/01/2023;24;0,941;R
ES0021000003073076YC;23/01/2023;1;0,989;R
